Date,Price,Open,High,Low,Change %
Dec 31-2013,3.964,3.908,3.974,3.898,1.56%
Dec 30-2013,3.903,4.001,4.001,3.895,-2.52%
Dec 29-2013,4.004,3.94,4.004,3.94,1.62%
Dec 27-2013,3.94,3.925,3.95,3.908,0.36%
Dec 26-2013,3.926,3.912,3.931,3.89,0.40%
Dec 25-2013,3.91,3.897,3.91,3.897,0.34%
Dec 24-2013,3.897,3.851,3.902,3.834,1.19%
Dec 23-2013,3.851,3.812,3.853,3.779,0.62%
Dec 22-2013,3.827,3.827,3.827,3.827,0.00%
Dec 20-2013,3.827,3.922,3.922,3.814,-2.15%
Dec 19-2013,3.911,3.898,3.918,3.883,0.10%
Dec 18-2013,3.907,3.872,3.953,3.847,1.03%
Dec 17-2013,3.867,3.889,3.917,3.867,-0.74%
Dec 16-2013,3.896,3.874,3.901,3.842,0.52%
Dec 15-2013,3.876,3.875,3.877,3.873,0.02%
Dec 13-2013,3.875,3.893,3.91,3.866,-0.51%
Dec 12-2013,3.895,3.886,3.905,3.863,0.21%
Dec 11-2013,3.887,3.852,3.888,3.836,1.22%
Dec 10-2013,3.84,3.875,3.878,3.827,-0.83%
Dec 09-2013,3.872,3.897,3.899,3.869,-0.65%
Dec 08-2013,3.897,3.903,3.903,3.897,0.19%
Dec 06-2013,3.89,3.919,3.98,3.882,-0.66%
Dec 05-2013,3.916,3.901,3.925,3.883,0.33%
Dec 04-2013,3.903,3.851,3.916,3.843,1.48%
Dec 03-2013,3.846,3.861,3.867,3.828,-0.31%
Dec 02-2013,3.858,3.825,3.869,3.824,0.89%
Dec 01-2013,3.824,3.817,3.827,3.817,0.18%
Nov 29-2013,3.817,3.821,3.842,3.804,-0.16%
Nov 28-2013,3.823,3.815,3.823,3.815,0.16%
Nov 27-2013,3.817,3.806,3.842,3.795,0.45%
Nov 26-2013,3.8,3.806,3.822,3.784,-0.52%
Nov 25-2013,3.82,3.835,3.854,3.812,-0.38%
Nov 24-2013,3.835,3.833,3.837,3.833,0.04%
Nov 22-2013,3.833,3.887,3.899,3.828,-1.44%
Nov 21-2013,3.889,3.927,3.938,3.879,-0.69%
Nov 20-2013,3.916,3.803,3.917,3.784,2.94%
Nov 19-2013,3.804,3.757,3.808,3.749,1.25%
Nov 18-2013,3.757,3.804,3.809,3.751,-1.25%
Nov 17-2013,3.804,3.796,3.807,3.796,0.22%
Nov 15-2013,3.796,3.794,3.82,3.787,0.18%
Nov 14-2013,3.789,3.818,3.825,3.763,-0.97%
Nov 13-2013,3.826,3.859,3.861,3.812,-0.80%
Nov 12-2013,3.857,3.872,3.887,3.848,-0.38%
Nov 11-2013,3.872,3.869,3.874,3.869,0.62%
Nov 08-2013,3.848,3.713,3.855,3.705,3.80%
Nov 07-2013,3.707,3.778,3.783,3.704,-1.83%
Nov 06-2013,3.776,3.771,3.787,3.752,0.13%
Nov 05-2013,3.771,3.696,3.773,3.687,2.08%
Nov 04-2013,3.694,3.695,3.705,3.672,0.00%
Nov 03-2013,3.694,3.694,3.694,3.694,0.00%
Nov 01-2013,3.694,3.643,3.702,3.637,1.51%
Oct 31-2013,3.639,3.645,3.659,3.61,-0.08%
Oct 30-2013,3.642,3.617,3.656,3.59,0.80%
Oct 29-2013,3.613,3.615,3.634,3.601,-0.14%
Oct 28-2013,3.618,3.601,3.621,3.59,0.43%
Oct 27-2013,3.602,3.601,3.602,3.601,0.04%
Oct 25-2013,3.601,3.614,3.614,3.585,-0.33%
Oct 24-2013,3.613,3.591,3.615,3.565,0.64%
Oct 23-2013,3.59,3.608,3.613,3.567,-0.58%
Oct 22-2013,3.611,3.675,3.682,3.601,-1.66%
Oct 21-2013,3.672,3.654,3.689,3.647,0.51%
Oct 20-2013,3.653,3.654,3.654,3.652,0.12%
Oct 18-2013,3.649,3.666,3.672,3.617,-0.33%
Oct 17-2013,3.661,3.73,3.73,3.65,-1.64%
Oct 16-2013,3.722,3.799,3.804,3.715,-1.61%
Oct 15-2013,3.783,3.796,3.797,3.749,-0.35%
Oct 14-2013,3.796,3.795,3.796,3.794,1.37%
Oct 11-2013,3.745,3.734,3.749,3.697,0.32%
Oct 10-2013,3.733,3.744,3.787,3.73,-0.08%
Oct 09-2013,3.736,3.692,3.744,3.685,1.14%
Oct 08-2013,3.694,3.695,3.726,3.678,-0.03%
Oct 07-2013,3.695,3.719,3.721,3.685,-0.67%
Oct 06-2013,3.72,3.718,3.72,3.718,0.02%
Oct 04-2013,3.719,3.73,3.74,3.71,0.35%
Oct 03-2013,3.706,3.704,3.733,3.679,0.11%
Oct 02-2013,3.702,3.722,3.726,3.673,-0.38%
Oct 01-2013,3.716,3.688,3.733,3.685,0.65%
Sep 30-2013,3.692,3.68,3.704,3.656,0.58%
Sep 29-2013,3.671,3.685,3.685,3.67,-0.42%
Sep 27-2013,3.686,3.698,3.718,3.668,-0.32%
Sep 26-2013,3.698,3.676,3.701,3.665,0.87%
Sep 25-2013,3.666,3.671,3.693,3.642,-0.08%
Sep 24-2013,3.669,3.729,3.733,3.665,-1.58%
Sep 23-2013,3.728,3.764,3.779,3.724,-0.96%
Sep 22-2013,3.764,3.764,3.764,3.764,0.00%
Sep 20-2013,3.764,3.805,3.818,3.754,-0.92%
Sep 19-2013,3.799,3.776,3.81,3.747,1.39%
Sep 18-2013,3.747,3.827,3.881,3.731,-2.19%
Sep 17-2013,3.831,3.871,3.875,3.824,-0.83%
Sep 16-2013,3.863,3.839,3.879,3.783,0.64%
Sep 15-2013,3.839,3.839,3.839,3.839,0.00%
Sep 13-2013,3.838,3.856,3.882,3.817,-0.29%
Sep 12-2013,3.849,3.857,3.859,3.807,-0.05%
Sep 11-2013,3.851,3.901,3.913,3.847,-1.10%
Sep 10-2013,3.894,3.856,3.901,3.845,1.09%
Sep 09-2013,3.852,3.922,3.922,3.816,-0.64%
Sep 08-2013,3.877,3.867,3.922,3.867,0.26%
Sep 07-2013,3.867,3.867,3.867,3.867,0.00%
Sep 06-2013,3.867,3.883,3.905,3.81,-0.49%
Sep 05-2013,3.886,3.796,3.894,3.784,2.37%
Sep 04-2013,3.796,3.792,3.813,3.77,0.08%
Sep 03-2013,3.793,3.741,3.831,3.728,1.51%
Sep 02-2013,3.736,3.741,3.742,3.728,0.54%
Sep 01-2013,3.716,3.716,3.716,3.716,0.00%
Aug 30-2013,3.716,3.719,3.742,3.673,0.08%
Aug 29-2013,3.713,3.746,3.783,3.691,-0.62%
Aug 28-2013,3.736,3.699,3.767,3.684,1.19%
Aug 27-2013,3.692,3.778,3.792,3.689,-1.99%
Aug 26-2013,3.767,3.804,3.846,3.767,-0.90%
Aug 25-2013,3.801,3.804,3.804,3.801,0.09%
Aug 23-2013,3.798,3.877,3.897,3.791,-1.99%
Aug 22-2013,3.875,3.922,3.94,3.86,-1.17%
Aug 21-2013,3.921,3.858,3.924,3.847,1.74%
Aug 20-2013,3.854,3.895,3.901,3.841,-1.20%
Aug 19-2013,3.901,3.864,3.914,3.854,0.89%
Aug 18-2013,3.866,3.864,3.866,3.859,0.51%
Aug 16-2013,3.847,3.807,3.885,3.8,1.08%
Aug 15-2013,3.806,3.743,3.838,3.737,1.57%
Aug 14-2013,3.747,3.759,3.763,3.735,-0.32%
Aug 13-2013,3.759,3.693,3.767,3.691,2.06%
Aug 12-2013,3.683,3.635,3.688,3.602,1.45%
Aug 11-2013,3.63,3.636,3.636,3.63,-0.17%
Aug 10-2013,3.636,3.636,3.636,3.636,0.00%
Aug 09-2013,3.636,3.656,3.674,3.631,-1.06%
Aug 08-2013,3.675,3.686,3.691,3.64,-0.27%
Aug 07-2013,3.685,3.725,3.729,3.675,-1.18%
Aug 06-2013,3.729,3.731,3.759,3.718,-0.08%
Aug 05-2013,3.732,3.686,3.749,3.685,1.19%
Aug 03-2013,3.688,3.688,3.688,3.688,0.00%
Aug 02-2013,3.688,3.76,3.781,3.685,-1.76%
Aug 01-2013,3.754,3.65,3.774,3.645,2.96%
Jul 31-2013,3.646,3.679,3.742,3.629,-0.76%
Jul 30-2013,3.674,3.675,3.684,3.639,0.08%
Jul 29-2013,3.671,3.621,3.676,3.609,1.36%
Jul 27-2013,3.622,3.622,3.622,3.622,0.00%
Jul 26-2013,3.622,3.648,3.653,3.609,-0.66%
Jul 25-2013,3.646,3.648,3.688,3.633,0.03%
Jul 24-2013,3.645,3.581,3.688,3.581,1.82%
Jul 23-2013,3.58,3.557,3.605,3.54,0.87%
Jul 22-2013,3.549,3.565,3.565,3.532,-0.29%
Jul 20-2013,3.559,3.559,3.559,3.559,0.00%
Jul 19-2013,3.559,3.632,3.64,3.556,-2.12%
Jul 18-2013,3.636,3.577,3.645,3.562,1.65%
Jul 17-2013,3.577,3.589,3.621,3.544,-0.14%
Jul 16-2013,3.582,3.598,3.611,3.57,-0.36%
Jul 15-2013,3.595,3.635,3.685,3.59,-1.11%
Jul 13-2013,3.635,3.635,3.635,3.635,0.00%
Jul 12-2013,3.635,3.623,3.653,3.588,0.25%
Jul 11-2013,3.626,3.6,3.673,3.593,-1.55%
Jul 10-2013,3.683,3.651,3.793,3.632,0.88%
Jul 09-2013,3.651,3.636,3.659,3.628,0.41%
Jul 08-2013,3.636,3.708,3.722,3.631,-1.95%
Jul 06-2013,3.708,3.708,3.708,3.708,0.00%
Jul 05-2013,3.708,3.511,3.717,3.494,6.15%
Jul 04-2013,3.493,3.493,3.493,3.493,0.00%
Jul 03-2013,3.493,3.48,3.499,3.418,0.52%
Jul 02-2013,3.475,3.483,3.489,3.451,-0.06%
Jul 01-2013,3.477,3.507,3.559,3.474,-0.64%
Jun 29-2013,3.499,3.499,3.499,3.499,0.00%
Jun 28-2013,3.499,3.543,3.58,3.488,-0.99%
Jun 27-2013,3.534,3.575,3.601,3.516,-1.37%
Jun 26-2013,3.583,3.633,3.638,3.556,-1.27%
Jun 25-2013,3.629,3.545,3.631,3.508,2.02%
Jun 24-2013,3.557,3.587,3.652,3.543,-1.05%
Jun 23-2013,3.595,3.595,3.595,3.595,0.00%
Jun 22-2013,3.595,3.595,3.595,3.595,0.00%
Jun 21-2013,3.595,3.502,3.601,3.467,2.19%
Jun 20-2013,3.518,3.421,3.548,3.401,2.75%
Jun 19-2013,3.424,3.343,3.429,3.316,2.48%
Jun 18-2013,3.341,3.349,3.377,3.325,-0.27%
Jun 17-2013,3.35,3.319,3.358,3.286,1.40%
Jun 16-2013,3.304,3.304,3.304,3.304,0.00%
Jun 15-2013,3.304,3.304,3.304,3.304,0.00%
Jun 14-2013,3.304,3.326,3.333,3.272,-0.27%
Jun 13-2013,3.313,3.373,3.374,3.295,-1.75%
Jun 12-2013,3.372,3.319,3.385,3.304,1.63%
Jun 11-2013,3.318,3.371,3.433,3.3,-1.57%
Jun 10-2013,3.371,3.341,3.382,3.313,0.83%
Jun 08-2013,3.343,3.343,3.343,3.343,0.00%
Jun 07-2013,3.343,3.238,3.344,3.204,3.18%
Jun 06-2013,3.24,3.247,3.286,3.169,-0.15%
Jun 05-2013,3.245,3.317,3.318,3.237,-2.08%
Jun 04-2013,3.314,3.273,3.318,3.255,1.44%
Jun 03-2013,3.267,3.306,3.33,3.226,-0.34%
Jun 01-2013,3.278,3.278,3.278,3.278,0.00%
May 31-2013,3.278,3.275,3.356,3.233,-0.09%
May 30-2013,3.281,3.265,3.293,3.246,0.46%
May 29-2013,3.266,3.318,3.37,3.259,-1.83%
May 28-2013,3.327,3.191,3.338,3.19,4.77%
