Date,Open,High,Low,Close,Adj Close,Volume
2014-11-10,6.010000,6.140000,5.920000,6.030000,6.030000,255300
2014-11-11,6.100000,7.040000,5.930000,6.930000,6.930000,3219400
2014-11-12,6.710000,7.000000,6.550000,6.950000,6.950000,777000
2014-11-13,6.900000,7.200000,6.730000,6.770000,6.770000,736000
2014-11-14,6.740000,6.900000,6.550000,6.790000,6.790000,424200
2014-11-17,6.740000,7.030000,6.660000,6.690000,6.690000,365100
2014-11-18,6.690000,6.880000,6.670000,6.830000,6.830000,247600
2014-11-19,6.750000,6.830000,6.510000,6.530000,6.530000,241200
2014-11-20,6.500000,6.710000,6.470000,6.620000,6.620000,272000
2014-11-21,6.750000,6.750000,6.370000,6.500000,6.500000,338100
2014-11-24,6.550000,6.880000,6.450000,6.720000,6.720000,360300
2014-11-25,6.730000,6.950000,6.570000,6.630000,6.630000,406500
2014-11-26,6.620000,6.980000,6.560000,6.900000,6.900000,273000
2014-11-28,6.900000,6.940000,6.640000,6.660000,6.660000,144700
2014-12-01,6.660000,6.920000,6.420000,6.440000,6.440000,254600
2014-12-02,6.500000,6.790000,6.500000,6.600000,6.600000,260300
2014-12-03,6.600000,6.750000,6.510000,6.550000,6.550000,190600
2014-12-04,6.560000,6.750000,6.300000,6.370000,6.370000,274200
2014-12-05,6.380000,6.560000,6.340000,6.500000,6.500000,240800
2014-12-08,6.500000,6.750000,6.430000,6.460000,6.460000,197700
2014-12-09,6.380000,6.740000,6.370000,6.610000,6.610000,288500
2014-12-10,6.580000,6.600000,6.340000,6.350000,6.350000,474800
2014-12-11,6.390000,6.530000,6.200000,6.400000,6.400000,473100
2014-12-12,6.410000,6.610000,6.240000,6.400000,6.400000,347400
2014-12-15,6.450000,6.600000,6.100000,6.130000,6.130000,362700
2014-12-16,6.100000,6.260000,5.820000,5.830000,5.830000,452400
2014-12-17,5.830000,6.160000,5.830000,6.130000,6.130000,657000
2014-12-18,6.200000,6.440000,6.050000,6.390000,6.390000,470500
2014-12-19,6.380000,6.770000,6.290000,6.690000,6.690000,780600
2014-12-22,6.690000,6.790000,6.440000,6.740000,6.740000,215400
2014-12-23,6.760000,6.760000,6.490000,6.550000,6.550000,371200
2014-12-24,6.580000,6.730000,6.560000,6.610000,6.610000,147500
2014-12-26,6.660000,6.920000,6.530000,6.920000,6.920000,429200
2014-12-29,6.940000,7.200000,6.920000,6.970000,6.970000,462400
2014-12-30,6.910000,6.950000,6.680000,6.690000,6.690000,253200
2014-12-31,6.690000,6.920000,6.690000,6.730000,6.730000,342500
2015-01-02,6.770000,6.880000,6.640000,6.810000,6.810000,297300
2015-01-05,6.810000,6.860000,6.610000,6.750000,6.750000,339500
2015-01-06,6.780000,6.890000,6.640000,6.710000,6.710000,730000
2015-01-07,6.740000,6.950000,6.660000,6.900000,6.900000,570600
2015-01-08,6.950000,7.320000,6.940000,7.190000,7.190000,470800
2015-01-09,7.210000,7.350000,7.040000,7.320000,7.320000,311100
2015-01-12,7.420000,7.500000,7.300000,7.440000,7.440000,319100
2015-01-13,7.500000,7.670000,7.040000,7.170000,7.170000,393700
2015-01-14,7.080000,7.270000,6.850000,7.220000,7.220000,257900
2015-01-15,7.260000,7.300000,6.720000,6.780000,6.780000,352000
2015-01-16,6.760000,7.110000,6.760000,7.000000,7.000000,218800
