Date,Open,High,Low,Close,Adj Close,Volume
2014-11-10,2.950000,3.000000,2.850000,2.850000,2.850000,5500
2014-11-11,2.750000,2.900000,2.750000,2.800000,2.800000,11600
2014-11-12,2.750000,3.000000,2.750000,2.950000,2.950000,13100
2014-11-13,3.000000,3.000000,2.750000,2.800000,2.800000,10400
2014-11-14,2.750000,2.800000,2.550000,2.600000,2.600000,18500
2014-11-17,2.550000,2.700000,2.500000,2.700000,2.700000,16900
2014-11-18,2.550000,3.000000,2.550000,2.600000,2.600000,34200
2014-11-19,2.700000,2.950000,2.650000,2.650000,2.650000,3100
2014-11-20,2.500000,2.800000,2.500000,2.800000,2.800000,15700
2014-11-21,2.850000,2.900000,2.550000,2.850000,2.850000,36700
2014-11-24,2.800000,2.900000,2.650000,2.700000,2.700000,23300
2014-11-25,2.650000,2.800000,2.600000,2.600000,2.600000,5300
2014-11-26,2.750000,2.750000,2.500000,2.500000,2.500000,29300
2014-11-28,2.600000,2.600000,2.300000,2.600000,2.600000,13100
2014-12-01,2.650000,2.650000,2.200000,2.250000,2.250000,11900
2014-12-02,2.100000,2.350000,2.050000,2.150000,2.150000,28500
2014-12-03,2.200000,2.250000,2.100000,2.150000,2.150000,15100
2014-12-04,2.200000,2.350000,2.200000,2.300000,2.300000,13300
2014-12-05,2.350000,2.350000,2.050000,2.250000,2.250000,15400
2014-12-08,2.300000,2.700000,2.250000,2.650000,2.650000,28800
2014-12-09,2.750000,2.750000,2.400000,2.700000,2.700000,13700
2014-12-10,2.700000,2.700000,2.500000,2.500000,2.500000,14300
2014-12-11,2.450000,2.700000,2.350000,2.600000,2.600000,21700
2014-12-12,2.600000,2.600000,2.150000,2.350000,2.350000,19900
2014-12-15,2.250000,2.550000,2.150000,2.400000,2.400000,10700
2014-12-16,2.350000,2.400000,2.250000,2.400000,2.400000,10600
2014-12-17,2.350000,2.550000,2.150000,2.350000,2.350000,26600
2014-12-18,2.350000,2.500000,2.200000,2.350000,2.350000,10800
2014-12-19,2.350000,2.500000,2.300000,2.450000,2.450000,13600
2014-12-22,2.450000,2.450000,2.350000,2.450000,2.450000,9500
2014-12-23,2.450000,2.650000,2.400000,2.500000,2.500000,81600
2014-12-24,2.500000,2.600000,2.450000,2.600000,2.600000,14200
2014-12-26,2.450000,2.700000,2.350000,2.450000,2.450000,31600
2014-12-29,2.400000,2.500000,2.350000,2.350000,2.350000,24400
2014-12-30,2.200000,2.600000,2.200000,2.300000,2.300000,44200
2014-12-31,2.300000,2.500000,2.250000,2.250000,2.250000,35200
2015-01-02,2.300000,2.650000,2.250000,2.500000,2.500000,7900
2015-01-05,2.650000,2.900000,2.350000,2.900000,2.900000,119300
2015-01-06,2.850000,2.850000,2.650000,2.850000,2.850000,25800
2015-01-07,2.850000,2.850000,2.450000,2.850000,2.850000,25500
2015-01-08,3.100000,3.350000,2.950000,3.000000,3.000000,161300
2015-01-09,2.900000,3.500000,2.900000,3.300000,3.300000,73200
2015-01-12,3.400000,3.400000,3.000000,3.100000,3.100000,46700
2015-01-13,3.200000,3.300000,3.100000,3.100000,3.100000,10800
2015-01-14,3.150000,3.250000,3.000000,3.100000,3.100000,13100
2015-01-15,3.000000,3.100000,2.900000,3.000000,3.000000,16200
2015-01-16,2.900000,3.000000,2.850000,2.850000,2.850000,19600
2015-01-20,3.050000,3.150000,2.850000,2.900000,2.900000,10400
2015-01-21,2.900000,3.000000,2.850000,2.900000,2.900000,12700
2015-01-22,3.000000,3.000000,2.850000,2.900000,2.900000,8300
2015-01-23,2.800000,3.000000,2.600000,2.750000,2.750000,19100
2015-01-26,2.600000,3.000000,2.500000,2.500000,2.500000,16300
2015-01-27,2.600000,2.800000,2.550000,2.800000,2.800000,23700
2015-01-28,2.950000,2.950000,2.600000,2.700000,2.700000,15900
2015-01-29,2.650000,2.800000,2.600000,2.600000,2.600000,5900
2015-01-30,2.700000,2.750000,2.650000,2.750000,2.750000,5900
2015-02-02,2.600000,2.750000,2.350000,2.650000,2.650000,21100
2015-02-03,2.500000,2.650000,2.450000,2.600000,2.600000,9100
2015-02-04,2.600000,2.600000,2.450000,2.550000,2.550000,4000
2015-02-05,2.600000,2.600000,2.400000,2.500000,2.500000,12400
2015-02-06,2.550000,2.700000,2.500000,2.700000,2.700000,9800
2015-02-09,2.750000,2.750000,2.500000,2.600000,2.600000,7000
2015-02-10,2.600000,2.750000,2.600000,2.700000,2.700000,5000
2015-02-11,2.650000,2.750000,2.400000,2.550000,2.550000,2700
2015-02-12,2.700000,2.700000,2.550000,2.700000,2.700000,9000
2015-02-13,2.700000,2.750000,2.650000,2.750000,2.750000,11200
2015-02-17,2.500000,2.900000,2.500000,2.850000,2.850000,31300
2015-02-18,2.850000,3.150000,2.850000,3.150000,3.150000,41300
2015-02-19,3.100000,3.250000,3.050000,3.150000,3.150000,10800
2015-02-20,3.200000,3.250000,3.100000,3.150000,3.150000,17100
2015-02-23,3.000000,3.450000,3.000000,3.300000,3.300000,17600
2015-02-24,3.200000,3.250000,3.050000,3.150000,3.150000,13000
2015-02-25,3.250000,3.300000,3.000000,3.300000,3.300000,19000
2015-02-26,3.300000,3.800000,3.250000,3.800000,3.800000,60700
2015-02-27,4.250000,5.750000,4.050000,4.250000,4.250000,406500
2015-03-02,4.350000,4.950000,4.350000,4.400000,4.400000,123100
2015-03-03,4.100000,4.350000,3.800000,4.100000,4.100000,77400
2015-03-04,3.950000,4.100000,3.500000,3.700000,3.700000,73900
2015-03-05,3.700000,3.950000,3.700000,3.900000,3.900000,16800
2015-03-06,4.000000,4.000000,3.700000,3.750000,3.750000,20300
2015-03-09,3.800000,3.850000,3.450000,3.700000,3.700000,13400
2015-03-10,3.650000,3.650000,3.450000,3.500000,3.500000,15600
2015-03-11,3.400000,3.400000,3.100000,3.100000,3.100000,27200
2015-03-12,3.400000,3.850000,3.400000,3.650000,3.650000,26000
2015-03-13,3.650000,3.900000,3.250000,3.300000,3.300000,26100
2015-03-16,3.400000,3.800000,3.350000,3.550000,3.550000,25800
2015-03-17,3.600000,3.700000,3.500000,3.700000,3.700000,15400
2015-03-18,3.650000,3.700000,3.500000,3.550000,3.550000,11900
2015-03-19,3.600000,3.600000,3.500000,3.500000,3.500000,15300
2015-03-20,3.400000,3.600000,3.400000,3.450000,3.450000,17800
2015-03-23,3.600000,3.750000,3.400000,3.400000,3.400000,25500
2015-03-24,3.450000,3.600000,3.450000,3.500000,3.500000,9100
2015-03-25,3.650000,3.700000,3.500000,3.650000,3.650000,26200
2015-03-26,3.750000,3.850000,3.550000,3.850000,3.850000,30100
2015-03-27,3.850000,3.850000,3.750000,3.750000,3.750000,12500
2015-03-30,3.800000,4.200000,3.800000,3.950000,3.950000,45000
2015-03-31,3.900000,4.150000,3.850000,3.950000,3.950000,17800
2015-04-01,4.100000,4.250000,3.950000,4.050000,4.050000,37200
2015-04-02,4.100000,4.800000,4.000000,4.700000,4.700000,105700
2015-04-06,4.650000,4.950000,4.250000,4.450000,4.450000,69400
2015-04-07,4.800000,4.800000,4.250000,4.300000,4.300000,54400
2015-04-08,4.200000,4.300000,3.800000,3.950000,3.950000,32000
2015-04-09,3.950000,4.200000,3.950000,4.150000,4.150000,11700
2015-04-10,4.300000,4.450000,4.250000,4.450000,4.450000,53700
2015-04-13,4.350000,4.400000,4.000000,4.150000,4.150000,44800
2015-04-14,4.150000,4.300000,4.050000,4.250000,4.250000,24300
2015-04-15,4.150000,4.250000,4.000000,4.050000,4.050000,42700
2015-04-16,4.100000,4.100000,4.000000,4.000000,4.000000,35800
2015-04-17,3.950000,4.000000,3.800000,4.000000,4.000000,16200
2015-04-20,4.050000,4.150000,3.750000,3.950000,3.950000,17200
2015-04-21,4.000000,4.050000,3.800000,3.900000,3.900000,7800
2015-04-22,3.950000,3.950000,3.750000,3.750000,3.750000,13100
2015-04-23,3.900000,3.900000,3.700000,3.800000,3.800000,12600
2015-04-24,3.700000,3.900000,3.700000,3.750000,3.750000,13100
2015-04-27,3.800000,3.950000,3.800000,3.800000,3.800000,12300
2015-04-28,3.800000,3.900000,3.800000,3.800000,3.800000,8400
2015-04-29,3.800000,3.900000,3.800000,3.800000,3.800000,7600
2015-04-30,3.900000,3.950000,3.800000,3.850000,3.850000,12900
2015-05-01,3.800000,4.000000,3.800000,3.900000,3.900000,5300
2015-05-04,4.050000,4.100000,3.850000,3.950000,3.950000,13100
2015-05-05,3.900000,4.150000,3.900000,4.050000,4.050000,29000
2015-05-06,4.000000,4.150000,3.900000,4.000000,4.000000,12000
2015-05-07,3.950000,4.050000,3.800000,3.800000,3.800000,14200
2015-05-08,3.950000,3.950000,3.800000,3.950000,3.950000,8100
2015-05-11,4.000000,4.000000,3.800000,3.950000,3.950000,11300
2015-05-12,3.900000,4.250000,3.900000,4.100000,4.100000,32800
2015-05-13,4.100000,4.150000,3.850000,4.050000,4.050000,11400
2015-05-14,4.050000,4.050000,3.850000,3.850000,3.850000,9000
2015-05-15,4.050000,4.050000,3.850000,4.000000,4.000000,11300
