Date,Open,High,Low,Close,Adj Close,Volume
2014-11-10,23.230000,23.230000,23.230000,23.230000,19.193388,800
2014-11-11,23.290001,23.580000,23.290001,23.540001,19.449516,43600
2014-11-12,23.290001,23.309999,23.290001,23.290001,19.242960,10500
2014-11-13,23.450001,23.450001,23.309999,23.309999,19.259483,600
2014-11-14,23.309999,23.410000,23.290001,23.379999,19.317318,4500
2014-11-17,23.400000,23.520000,23.400000,23.510000,19.424730,11700
2014-11-18,23.570000,23.680000,23.570000,23.680000,19.565193,3200
2014-11-19,23.850000,23.850000,23.620001,23.730000,19.606504,3800
2014-11-20,23.620001,23.620001,23.590000,23.610001,19.507359,1300
2014-11-21,23.850000,23.920000,23.780001,23.780001,19.647812,3700
2014-11-24,24.080000,24.080000,23.870001,23.900000,19.746964,70500
2014-11-25,24.080000,24.080000,23.889999,23.969999,19.804800,2000
2014-11-26,24.040001,24.059999,24.040001,24.059999,19.879160,1000
2014-11-28,24.049999,24.049999,23.799999,23.809999,19.672600,3100
2014-12-01,23.809999,23.850000,23.770000,23.830000,19.689125,10100
2014-12-02,23.930000,23.930000,23.930000,23.930000,19.771746,300
2014-12-03,23.780001,23.889999,23.780001,23.879999,19.730438,3500
2014-12-04,23.840000,23.840000,23.610001,23.709999,19.589977,2700
2014-12-05,23.799999,23.820000,23.799999,23.820000,19.680861,1000
2014-12-08,23.660000,23.700001,23.520000,23.520000,19.432993,3600
2014-12-09,23.430000,23.430000,23.250000,23.250000,19.209913,4000
2014-12-10,22.959999,23.030001,22.959999,23.020000,19.019880,2100
2014-12-11,23.070000,23.070000,23.070000,23.070000,19.061188,11500
2014-12-12,22.900000,22.910000,22.440001,22.440001,18.540665,2900
2014-12-15,22.430000,22.430000,21.980000,22.020000,18.193644,6100
2014-12-16,22.160000,22.389999,22.160000,22.260000,18.391937,3900
2014-12-17,22.230000,22.570000,22.230000,22.570000,18.648073,4700
2014-12-18,22.820000,23.049999,22.820000,23.049999,19.044666,400
2014-12-19,22.700001,22.870001,21.809999,22.870001,19.205902,13400
2014-12-22,22.709999,22.809999,22.709999,22.799999,19.147118,1400
2014-12-23,22.690001,22.760000,22.670000,22.760000,19.113525,12900
2014-12-24,22.809999,22.820000,22.719999,22.820000,19.163918,4300
2014-12-26,22.930000,22.930000,22.870001,22.870001,19.205902,1900
2014-12-29,22.610001,22.770000,22.610001,22.690001,19.054741,8500
2014-12-30,22.629999,22.629999,22.469999,22.469999,18.869987,3500
2014-12-31,22.500000,22.500000,22.330000,22.330000,18.752419,8000
2015-01-02,22.530001,22.530001,22.209999,22.270000,18.702034,6700
2015-01-05,21.860001,21.860001,21.580000,21.580000,18.122581,4600
2015-01-06,21.610001,21.610001,21.250000,21.370001,17.946224,6900
2015-01-07,21.410000,21.520000,21.410000,21.520000,18.072193,1500
2015-01-08,21.889999,21.940001,21.820000,21.820000,18.324129,3000
2015-01-09,21.719999,21.730000,21.549999,21.719999,18.240150,15400
2015-01-12,21.680000,21.700001,21.500000,21.680000,18.206560,4600
2015-01-13,21.700001,21.889999,21.670000,21.670000,18.198158,2200
2015-01-14,21.670000,21.670000,21.570000,21.570000,18.114183,700
2015-01-15,21.830000,21.870001,21.709999,21.870001,18.366117,6400
