Date,Open,High,Low,Close,Adj Close,Volume
2014-11-10,20.600000,20.860001,20.160000,20.780001,20.780001,34900
2014-11-11,20.600000,21.059999,19.740000,20.870001,20.870001,48000
2014-11-12,20.719999,21.330000,20.480000,21.260000,21.260000,35200
2014-11-13,21.250000,21.629999,20.680000,21.480000,21.480000,55300
2014-11-14,21.370001,21.760000,21.100000,21.629999,21.629999,51500
2014-11-17,21.530001,21.610001,21.000000,21.450001,21.450001,34900
2014-11-18,21.440001,22.129999,21.440001,21.950001,21.950001,41800
2014-11-19,22.000000,22.000000,21.180000,21.660000,21.660000,50300
2014-11-20,21.660000,21.980000,21.530001,21.860001,21.860001,27400
2014-11-21,22.000000,22.209999,21.910000,22.070000,22.070000,49400
2014-11-24,22.049999,22.450001,21.900000,22.420000,22.420000,51900
2014-11-25,22.299999,22.719999,21.510000,22.610001,22.610001,80200
2014-11-26,22.709999,23.000000,22.270000,22.930000,22.930000,45500
2014-11-28,22.990000,23.360001,22.770000,23.080000,23.080000,25800
2014-12-01,22.590000,23.110001,22.330000,23.020000,23.020000,87900
2014-12-02,23.040001,23.639999,22.879999,23.400000,23.400000,57900
2014-12-03,23.340000,23.500000,23.000000,23.400000,23.400000,79600
2014-12-04,23.320000,23.469999,23.040001,23.270000,23.270000,38300
2014-12-05,23.270000,23.500000,22.770000,22.879999,22.879999,43500
2014-12-08,22.920000,23.160000,22.820000,22.879999,22.879999,38100
2014-12-09,22.809999,23.700001,22.620001,23.660000,23.660000,32400
2014-12-10,23.750000,24.260000,23.340000,23.520000,23.520000,91100
2014-12-11,23.780001,24.040001,23.600000,23.799999,23.799999,81700
2014-12-12,23.620001,23.950001,22.920000,23.030001,23.030001,61800
2014-12-15,23.090000,23.549999,22.340000,22.780001,22.780001,48900
2014-12-16,22.780001,23.170000,21.860001,22.040001,22.040001,61600
2014-12-17,22.040001,22.120001,21.020000,21.680000,21.680000,83100
2014-12-18,21.680000,21.809999,21.440001,21.780001,21.780001,82200
2014-12-19,21.719999,22.490000,21.620001,22.320000,22.320000,191700
2014-12-22,22.379999,23.250000,21.930000,23.010000,23.010000,41400
2014-12-23,23.260000,24.150000,22.770000,23.990000,23.990000,55400
2014-12-24,24.120001,24.120001,23.740000,23.799999,23.799999,11300
2014-12-26,23.900000,24.219999,23.639999,24.010000,24.010000,18800
2014-12-29,24.139999,24.240000,24.000000,24.129999,24.129999,26700
2014-12-30,24.000000,24.260000,23.830000,24.209999,24.209999,17700
2014-12-31,24.200001,24.290001,23.799999,24.270000,24.270000,29400
2015-01-02,24.290001,24.290001,23.309999,24.020000,24.020000,39600
2015-01-05,23.990000,24.680000,23.990000,24.190001,24.190001,52900
2015-01-06,24.309999,24.309999,23.660000,24.040001,24.040001,77400
2015-01-07,24.020000,24.420000,22.959999,24.010000,24.010000,257900
2015-01-08,24.030001,24.120001,23.250000,23.450001,23.450001,65500
2015-01-09,23.389999,23.420000,22.840000,22.950001,22.950001,31100
2015-01-12,23.030001,23.049999,22.309999,22.780001,22.780001,36300
2015-01-13,22.750000,23.040001,21.940001,22.360001,22.360001,28900
2015-01-14,22.059999,22.610001,21.980000,22.340000,22.340000,59600
2015-01-15,22.160000,22.360001,22.010000,22.040001,22.040001,20800
2015-01-16,21.959999,22.650000,21.900000,22.610001,22.610001,19900
2015-01-20,22.500000,22.500000,21.719999,22.080000,22.080000,37600
2015-01-21,21.969999,22.370001,21.629999,22.320000,22.320000,56600
2015-01-22,22.340000,22.709999,21.889999,22.660000,22.660000,31100
2015-01-23,22.709999,23.030001,22.600000,22.830000,22.830000,19800
2015-01-26,22.700001,23.240000,22.530001,23.040001,23.040001,18700
2015-01-27,23.170000,23.570000,22.900000,23.090000,23.090000,48900
2015-01-28,23.170000,23.209999,22.670000,22.730000,22.730000,28400
2015-01-29,22.730000,23.200001,21.860001,22.799999,22.799999,139700
2015-01-30,22.670000,23.250000,22.049999,22.180000,22.180000,76500
2015-02-02,22.100000,22.100000,21.299999,21.690001,21.690001,123800
2015-02-03,21.620001,22.270000,21.400000,21.469999,21.469999,37500
2015-02-04,21.370001,21.740000,21.360001,21.500000,21.500000,45300
2015-02-05,21.500000,22.250000,21.370001,21.430000,21.430000,20800
2015-02-06,21.500000,21.610001,21.260000,21.389999,21.389999,18500
2015-02-09,21.500000,21.500000,20.639999,21.129999,21.129999,87600
2015-02-10,21.160000,21.430000,20.959999,21.320000,21.320000,66100
2015-02-11,21.230000,21.600000,20.930000,21.299999,21.299999,23200
2015-02-12,21.250000,21.590000,21.129999,21.389999,21.389999,19300
2015-02-13,21.510000,21.690001,21.180000,21.570000,21.570000,51100
2015-02-17,21.400000,21.520000,21.040001,21.290001,21.290001,42700
2015-02-18,21.450001,21.549999,21.240000,21.480000,21.480000,52500
2015-02-19,21.520000,21.700001,21.320000,21.440001,21.440001,34500
2015-02-20,21.500000,21.600000,21.190001,21.400000,21.400000,23000
2015-02-23,21.420000,21.420000,20.860001,21.180000,21.180000,34200
2015-02-24,21.110001,21.670000,21.070000,21.240000,21.240000,95700
2015-02-25,21.360001,21.559999,21.240000,21.389999,21.389999,80600
2015-02-26,21.559999,21.900000,21.389999,21.580000,21.580000,81400
2015-02-27,21.760000,21.940001,21.490000,21.900000,21.900000,58500
2015-03-02,21.820000,22.490000,21.820000,22.410000,22.410000,61600
2015-03-03,22.459999,22.459999,22.059999,22.139999,22.139999,33400
2015-03-04,22.010000,22.389999,21.980000,22.170000,22.170000,40200
2015-03-05,22.090000,22.230000,21.490000,21.969999,21.969999,56700
2015-03-06,22.049999,23.490000,22.010000,22.990000,22.990000,277800
2015-03-09,23.110001,23.240000,22.110001,22.240000,22.240000,60900
2015-03-10,22.209999,22.320000,21.440001,21.780001,21.780001,86100
2015-03-11,21.780001,22.129999,21.290001,21.430000,21.430000,99800
2015-03-12,21.629999,22.629999,21.440001,22.379999,22.379999,56000
2015-03-13,22.459999,22.750000,22.100000,22.660000,22.660000,27200
2015-03-16,22.860001,22.990000,22.680000,22.910000,22.910000,65400
2015-03-17,22.910000,23.049999,22.379999,22.780001,22.780001,105200
2015-03-18,22.840000,23.330000,22.670000,22.959999,22.959999,49100
2015-03-19,23.070000,23.330000,22.129999,23.059999,23.059999,43800
2015-03-20,23.139999,23.250000,22.280001,22.280001,22.280001,154900
2015-03-23,22.280001,23.350000,22.260000,23.270000,23.270000,92800
2015-03-24,23.350000,23.350000,22.660000,22.930000,22.930000,73000
2015-03-25,22.990000,23.010000,22.270000,22.580000,22.580000,89200
2015-03-26,22.450001,22.760000,22.139999,22.469999,22.469999,23100
2015-03-27,22.480000,22.650000,22.020000,22.570000,22.570000,63100
2015-03-30,22.750000,23.320000,22.610001,22.950001,22.950001,99000
2015-03-31,22.950001,23.330000,22.660000,23.020000,23.020000,105000
2015-04-01,23.000000,24.000000,22.860001,23.879999,23.879999,68100
2015-04-02,23.980000,24.190001,23.410000,23.549999,23.549999,116500
2015-04-06,23.410000,24.180000,23.410000,24.040001,24.040001,46900
2015-04-07,24.180000,25.350000,24.180000,24.990000,24.990000,133300
2015-04-08,25.100000,26.549999,25.100000,26.139999,26.139999,114900
2015-04-09,26.230000,26.610001,25.530001,26.059999,26.059999,61500
2015-04-10,26.219999,26.860001,26.000000,26.209999,26.209999,50100
2015-04-13,26.299999,26.639999,25.400000,26.020000,26.020000,68600
2015-04-14,25.930000,26.580000,25.930000,26.219999,26.219999,44300
2015-04-15,26.430000,26.600000,26.170000,26.400000,26.400000,28600
2015-04-16,26.580000,27.950001,26.510000,26.950001,26.950001,109400
2015-04-17,26.969999,27.000000,26.020000,26.270000,26.270000,81200
2015-04-20,26.590000,27.799999,26.000000,27.510000,27.510000,63700
2015-04-21,27.889999,28.740000,27.520000,27.930000,27.930000,84500
2015-04-22,27.930000,28.150000,27.020000,27.600000,27.600000,70500
2015-04-23,27.770000,28.459999,27.100000,28.450001,28.450001,59100
2015-04-24,28.570000,29.000000,28.150000,28.860001,28.860001,54200
2015-04-27,29.040001,29.049999,27.809999,28.040001,28.040001,52100
2015-04-28,28.090000,28.090000,27.010000,27.760000,27.760000,56500
2015-04-29,27.799999,28.320000,27.590000,27.950001,27.950001,30700
2015-04-30,27.850000,28.040001,26.670000,26.840000,26.840000,65800
2015-05-01,26.000000,27.190001,24.540001,27.000000,27.000000,254800
2015-05-04,27.129999,28.100000,26.719999,26.790001,26.790001,71400
2015-05-05,26.570000,27.040001,26.230000,26.750000,26.750000,72900
2015-05-06,26.750000,26.959999,26.000000,26.809999,26.809999,97300
2015-05-07,26.780001,26.910000,26.260000,26.600000,26.600000,77900
2015-05-08,26.860001,26.990000,26.250000,26.480000,26.480000,84800
2015-05-11,26.459999,26.690001,26.100000,26.490000,26.490000,58300
2015-05-12,26.290001,26.510000,25.510000,26.389999,26.389999,49000
2015-05-13,26.299999,26.320000,25.959999,26.090000,26.090000,60700
