Date,Open,High,Low,Close,Adj Close,Volume
2014-11-10,40.799999,43.500000,40.799999,41.849998,41.849998,7600
2014-11-11,41.549999,42.599998,40.799999,41.250000,41.250000,6200
2014-11-12,41.549999,43.500000,41.099998,42.599998,42.599998,6300
2014-11-13,42.299999,43.799999,42.150002,43.200001,43.200001,5700
2014-11-14,43.650002,45.900002,42.750000,44.849998,44.849998,17100
2014-11-17,45.299999,45.750000,44.099998,44.549999,44.549999,18400
2014-11-18,44.849998,45.000000,43.200001,43.695000,43.695000,5600
2014-11-19,44.400002,44.474998,42.299999,42.750000,42.750000,12100
2014-11-20,43.200001,44.849998,43.200001,44.849998,44.849998,3400
2014-11-21,45.000000,45.450001,43.500000,44.250000,44.250000,4500
2014-11-24,43.500000,44.700001,43.500000,43.650002,43.650002,6800
2014-11-25,44.099998,44.654999,43.799999,43.799999,43.799999,5300
2014-11-26,43.500000,47.400002,43.500000,46.259998,46.259998,16100
2014-11-28,46.349998,47.549999,45.000000,46.785000,46.785000,5400
2014-12-01,47.099998,47.400002,45.450001,46.950001,46.950001,4000
2014-12-02,46.799999,50.700001,46.049999,50.250000,50.250000,22700
2014-12-03,50.700001,55.650002,49.650002,54.900002,54.900002,23700
2014-12-04,54.450001,54.450001,50.700001,52.650002,52.650002,20000
2014-12-05,52.200001,53.250000,51.000000,51.900002,51.900002,12400
2014-12-08,54.000000,56.549999,51.150002,51.599998,51.599998,28900
2014-12-09,50.700001,54.299999,50.250000,52.650002,52.650002,9200
2014-12-10,52.049999,55.049999,51.285000,53.250000,53.250000,4700
2014-12-11,54.450001,56.535000,53.250000,54.599998,54.599998,10300
2014-12-12,54.599998,57.000000,54.599998,56.700001,56.700001,11800
2014-12-15,57.750000,66.750000,57.750000,65.550003,65.550003,76200
2014-12-16,64.500000,68.250000,61.799999,67.199997,67.199997,36700
2014-12-17,67.949997,77.099998,65.474998,74.550003,74.550003,58900
2014-12-18,75.000000,75.000000,70.650002,72.900002,72.900002,25800
2014-12-19,72.900002,86.849998,70.650002,84.150002,84.150002,43400
2014-12-22,89.699997,118.199997,87.824997,109.650002,109.650002,254400
2014-12-23,106.650002,107.400002,99.074997,106.050003,106.050003,67200
