Date,Open,High,Low,Close,Adj Close,Volume
2014-11-10,2.540000,2.550000,2.500000,2.510000,2.510000,9900
2014-11-11,2.540000,2.540000,2.480000,2.540000,2.540000,2900
2014-11-12,2.530000,2.590000,2.390000,2.510000,2.510000,4900
2014-11-13,2.480000,2.490000,2.370000,2.460000,2.460000,2500
2014-11-14,2.400000,2.500000,2.400000,2.430000,2.430000,5600
2014-11-17,2.420000,2.500000,2.350000,2.410000,2.410000,11200
2014-11-18,2.440000,2.510000,2.430000,2.510000,2.510000,2000
2014-11-19,2.540000,2.540000,2.360000,2.470000,2.470000,13200
2014-11-20,2.430000,2.470000,2.350000,2.410000,2.410000,13600
2014-11-21,2.480000,2.480000,2.340000,2.440000,2.440000,11200
2014-11-24,2.420000,2.420000,2.220000,2.410000,2.410000,14900
2014-11-25,2.460000,2.460000,2.340000,2.360000,2.360000,2300
2014-11-26,2.450000,2.680000,2.450000,2.650000,2.650000,46800
2014-11-28,2.700000,2.750000,2.670000,2.670000,2.670000,11500
2014-12-01,2.720000,2.730000,2.630000,2.680000,2.680000,16600
2014-12-02,2.700000,2.700000,2.670000,2.700000,2.700000,2000
2014-12-03,2.710000,2.710000,2.630000,2.650000,2.650000,7700
2014-12-04,2.670000,2.750000,2.640000,2.640000,2.640000,12800
2014-12-05,2.700000,2.730000,2.700000,2.710000,2.710000,1100
2014-12-08,2.720000,2.800000,2.720000,2.750000,2.750000,18800
2014-12-09,2.790000,2.790000,2.750000,2.760000,2.760000,3600
2014-12-10,2.770000,2.770000,2.600000,2.650000,2.650000,15300
2014-12-11,2.680000,2.790000,2.550000,2.700000,2.700000,8700
2014-12-12,2.760000,2.790000,2.650000,2.650000,2.650000,6600
2014-12-15,2.600000,2.650000,2.500000,2.500000,2.500000,11300
2014-12-16,2.800000,2.800000,2.310000,2.480000,2.480000,15100
2014-12-17,2.500000,2.750000,2.330000,2.560000,2.560000,10400
2014-12-18,2.770000,2.780000,2.580000,2.600000,2.600000,2600
2014-12-19,2.580000,2.790000,2.520000,2.780000,2.780000,18100
2014-12-22,2.800000,2.800000,2.550000,2.650000,2.650000,4500
2014-12-23,2.550000,2.730000,2.510000,2.690000,2.690000,28000
2014-12-24,2.620000,2.800000,2.620000,2.800000,2.800000,5000
2014-12-26,2.780000,2.800000,2.560000,2.710000,2.710000,26700
2014-12-29,2.750000,2.750000,2.550000,2.650000,2.650000,9300
2014-12-30,2.590000,2.720000,2.460000,2.720000,2.720000,6200
2014-12-31,2.670000,2.750000,2.550000,2.550000,2.550000,30500
2015-01-02,2.660000,2.750000,2.600000,2.750000,2.750000,3600
2015-01-05,2.700000,2.750000,2.560000,2.690000,2.690000,15100
2015-01-06,2.760000,2.790000,2.600000,2.740000,2.740000,6700
2015-01-07,2.780000,2.790000,2.660000,2.750000,2.750000,10500
2015-01-08,2.770000,2.800000,2.660000,2.770000,2.770000,9900
2015-01-09,2.590000,2.760000,2.410000,2.620000,2.620000,14600
2015-01-12,2.640000,2.790000,2.620000,2.730000,2.730000,1700
2015-01-13,2.710000,2.720000,2.590000,2.620000,2.620000,1600
2015-01-14,2.610000,2.720000,2.540000,2.610000,2.610000,3200
2015-01-15,2.600000,2.600000,2.450000,2.500000,2.500000,16300
2015-01-16,2.600000,2.600000,2.330000,2.450000,2.450000,19700
2015-01-20,2.570000,2.570000,2.330000,2.400000,2.400000,4300
2015-01-21,2.420000,2.460000,2.410000,2.460000,2.460000,1100
2015-01-22,2.400000,2.580000,2.390000,2.400000,2.400000,8300
2015-01-23,2.400000,2.450000,2.180000,2.180000,2.180000,7900
2015-01-26,2.400000,2.400000,2.300000,2.340000,2.340000,11000
2015-01-27,2.370000,2.650000,2.210000,2.440000,2.440000,24000
2015-01-28,2.540000,2.640000,2.480000,2.520000,2.520000,22900
2015-01-29,2.500000,2.600000,2.500000,2.590000,2.590000,13200
2015-01-30,2.550000,2.660000,2.510000,2.660000,2.660000,5600
2015-02-02,2.550000,2.560000,2.500000,2.510000,2.510000,3900
2015-02-03,2.550000,2.700000,2.400000,2.460000,2.460000,29300
2015-02-04,2.510000,2.630000,2.510000,2.630000,2.630000,4700
2015-02-05,2.600000,2.640000,2.490000,2.570000,2.570000,8200
2015-02-06,2.630000,2.630000,2.500000,2.510000,2.510000,3700
2015-02-09,2.510000,2.520000,2.500000,2.510000,2.510000,1500
2015-02-10,2.500000,2.500000,2.380000,2.450000,2.450000,14800
2015-02-11,2.490000,2.500000,2.460000,2.500000,2.500000,2400
2015-02-12,2.450000,2.500000,2.390000,2.460000,2.460000,7300
2015-02-13,2.430000,2.540000,2.430000,2.470000,2.470000,3500
2015-02-17,2.490000,2.490000,2.460000,2.460000,2.460000,800
2015-02-18,2.460000,2.460000,2.450000,2.450000,2.450000,300
2015-02-19,2.420000,2.450000,2.420000,2.450000,2.450000,6600
2015-02-20,2.410000,2.470000,2.350000,2.390000,2.390000,2500
2015-02-23,2.390000,2.420000,2.390000,2.420000,2.420000,300
2015-02-24,2.490000,2.570000,2.490000,2.570000,2.570000,12400
2015-02-25,2.620000,2.680000,2.610000,2.610000,2.610000,21000
2015-02-26,2.670000,2.670000,2.480000,2.550000,2.550000,11500
2015-02-27,2.600000,2.650000,2.560000,2.640000,2.640000,24300
2015-03-02,2.640000,2.640000,2.620000,2.620000,2.620000,4700
2015-03-03,2.630000,2.640000,2.470000,2.640000,2.640000,16200
2015-03-04,2.650000,2.650000,2.580000,2.580000,2.580000,1000
2015-03-05,2.650000,2.650000,2.590000,2.590000,2.590000,900
2015-03-06,2.640000,2.640000,2.540000,2.600000,2.600000,500
2015-03-09,2.640000,2.650000,2.640000,2.650000,2.650000,1100
2015-03-10,2.630000,2.630000,2.500000,2.580000,2.580000,7900
2015-03-11,2.500000,2.590000,2.390000,2.400000,2.400000,12300
2015-03-12,2.600000,2.600000,2.460000,2.600000,2.600000,27700
2015-03-13,2.520000,2.600000,2.520000,2.600000,2.600000,4800
2015-03-16,2.580000,2.600000,2.460000,2.530000,2.530000,4200
