Date,Open,High,Low,Close,Adj Close,Volume
2014-11-10,0.008200,0.010800,0.008200,0.009200,0.009200,12361
2014-11-11,null,null,null,null,null,null
2014-11-12,null,null,null,null,null,null
2014-11-13,null,null,null,null,null,null
2014-11-14,0.008900,0.010500,0.007500,0.008400,0.008400,165174
2014-11-17,0.008400,0.008400,0.008400,0.008400,0.008400,2600
2014-11-18,0.008400,0.012800,0.008400,0.010560,0.010560,126088
2014-11-19,0.008800,0.010100,0.008800,0.009300,0.009300,49450
2014-11-20,null,null,null,null,null,null
2014-11-21,null,null,null,null,null,null
2014-11-24,null,null,null,null,null,null
2014-11-25,0.007700,0.007700,0.007700,0.007700,0.007700,3479
2014-11-26,null,null,null,null,null,null
2014-11-28,0.007700,0.007700,0.007700,0.007700,0.007700,0
2014-12-01,0.011900,0.011900,0.007500,0.007600,0.007600,114651
2014-12-02,0.009800,0.009800,0.007600,0.007600,0.007600,163917
2014-12-03,0.007500,0.008000,0.005400,0.005400,0.005400,784605
2014-12-04,0.004000,0.006000,0.004000,0.004100,0.004100,525635
2014-12-05,0.004100,0.005000,0.004100,0.004100,0.004100,113100
2014-12-08,0.004100,0.004500,0.004100,0.004100,0.004100,27300
2014-12-09,0.004100,0.004100,0.003400,0.004000,0.004000,185425
2014-12-10,0.004500,0.004500,0.003500,0.004300,0.004300,54016
2014-12-11,0.003500,0.003500,0.003500,0.003500,0.003500,308080
2014-12-12,0.003500,0.004000,0.003500,0.003500,0.003500,128440
2014-12-15,0.003500,0.003900,0.003000,0.003000,0.003000,733400
2014-12-16,0.002700,0.002770,0.002600,0.002690,0.002690,921650
2014-12-17,0.003100,0.003100,0.002700,0.003100,0.003100,397746
2014-12-18,0.002800,0.003200,0.002800,0.002900,0.002900,491123
2014-12-19,0.003100,0.003800,0.003100,0.003100,0.003100,135250
2014-12-22,0.003100,0.006500,0.003100,0.005000,0.005000,436897
2014-12-23,0.005000,0.007000,0.005000,0.006000,0.006000,316020
2014-12-24,0.004000,0.006000,0.004000,0.005200,0.005200,31600
2014-12-26,0.004000,0.005190,0.003100,0.005000,0.005000,258961
2014-12-29,0.004550,0.005000,0.003100,0.005000,0.005000,89271
2014-12-30,0.005000,0.005000,0.003500,0.003600,0.003600,96074
2014-12-31,0.003300,0.004170,0.003200,0.003700,0.003700,91361
2015-01-02,0.003700,0.003700,0.003700,0.003700,0.003700,100
2015-01-05,0.008400,0.008400,0.008400,0.008400,0.008400,52400
2015-01-06,0.003700,0.003800,0.003700,0.003700,0.003700,344548
2015-01-07,0.003700,0.003700,0.003700,0.003700,0.003700,432
2015-01-08,0.003700,0.003700,0.003300,0.003300,0.003300,8607
2015-01-09,0.003300,0.006000,0.003300,0.006000,0.006000,38000
2015-01-12,0.006000,0.006400,0.006000,0.006400,0.006400,82596
2015-01-13,0.005100,0.006400,0.004100,0.004100,0.004100,24647
2015-01-14,0.004200,0.006500,0.004200,0.006500,0.006500,203951
2015-01-15,0.006500,0.006500,0.004200,0.004200,0.004200,137689
2015-01-16,0.004400,0.004400,0.004200,0.004400,0.004400,30850
2015-01-20,0.004200,0.004400,0.004200,0.004400,0.004400,33450
2015-01-21,0.004200,0.004400,0.004200,0.004400,0.004400,30999
2015-01-22,0.004400,0.004400,0.004400,0.004400,0.004400,23279
2015-01-23,0.004200,0.004200,0.004200,0.004200,0.004200,5721
2015-01-26,0.004200,0.005000,0.004200,0.004200,0.004200,55057
2015-01-27,0.004530,0.004530,0.004200,0.004200,0.004200,400
2015-01-28,0.004200,0.004200,0.004200,0.004200,0.004200,10025
2015-01-29,0.005900,0.005900,0.004300,0.004300,0.004300,17000
2015-01-30,0.004300,0.004530,0.004300,0.004530,0.004530,31547
2015-02-02,0.005500,0.005500,0.005500,0.005500,0.005500,1450
2015-02-03,0.005500,0.005500,0.004300,0.004300,0.004300,22600
2015-02-04,0.004300,0.005500,0.004300,0.004300,0.004300,31226
2015-02-05,0.004300,0.004300,0.004300,0.004300,0.004300,2085
2015-02-06,0.005500,0.005500,0.005400,0.005400,0.005400,14143
2015-02-09,0.005400,0.005400,0.004600,0.004600,0.004600,103288
2015-02-10,0.004400,0.004540,0.004400,0.004400,0.004400,10000
2015-02-11,0.005100,0.005100,0.005100,0.005100,0.005100,30000
