Date,Open,High,Low,Close,Adj Close,Volume
2014-11-10,22.490000,22.650000,22.430000,22.500000,12.499286,2598400
2014-11-11,22.430000,22.549999,22.410000,22.520000,12.510403,1594700
2014-11-12,22.520000,22.540001,22.360001,22.520000,12.510403,2517900
2014-11-13,22.500000,22.700001,22.490000,22.670000,12.593726,2426000
2014-11-14,22.639999,22.879999,22.639999,22.870001,12.704841,3258100
2014-11-17,22.790001,23.129999,22.790001,23.080000,12.821490,4564000
2014-11-18,23.080000,23.160000,23.000000,23.120001,12.843713,4260900
2014-11-19,23.030001,23.160000,23.000000,23.120001,12.843713,3056100
2014-11-20,23.139999,23.230000,23.020000,23.190001,12.882596,2348800
2014-11-21,23.250000,23.260000,23.100000,23.170000,12.871492,2946600
2014-11-24,23.170000,23.350000,23.129999,23.290001,12.938158,2712200
2014-11-25,23.049999,23.090000,22.920000,22.980000,12.887676,3604100
2014-11-26,23.080000,23.120001,22.950001,23.049999,12.926933,1781400
2014-11-28,23.090000,23.170000,23.010000,23.080000,12.943760,1751900
2014-12-01,23.030001,23.090000,22.879999,22.920000,12.854028,3387400
2014-12-02,22.889999,23.170000,22.820000,23.139999,12.977414,3220000
2014-12-03,23.139999,23.180000,23.059999,23.150000,12.983017,2266400
2014-12-04,23.150000,23.219999,23.100000,23.139999,12.977414,2309200
2014-12-05,23.059999,23.139999,22.549999,22.660000,12.708219,5722500
2014-12-08,22.600000,22.680000,22.180000,22.290001,12.500710,5646500
2014-12-09,22.230000,22.629999,22.190001,22.590000,12.668958,3732900
2014-12-10,22.600000,22.629999,22.270000,22.309999,12.511932,1982400
2014-12-11,22.379999,22.510000,22.180000,22.480000,12.607269,4859100
2014-12-12,22.440001,22.469999,22.209999,22.240000,12.472670,3057500
2014-12-15,22.240000,22.250000,21.830000,21.860001,12.259560,3361300
2014-12-16,21.840000,22.070000,21.750000,21.780001,12.214696,3932700
2014-12-17,21.799999,22.020000,21.770000,21.920000,12.293211,3139800
2014-12-18,22.000000,22.070000,21.860001,22.000000,12.338078,3948600
2014-12-19,22.070000,22.360001,21.900000,22.299999,12.506326,7327000
2014-12-22,22.350000,22.440001,22.240000,22.410000,12.568016,3354700
2014-12-23,22.459999,22.459999,22.170000,22.219999,12.461452,3360100
2014-12-24,22.160000,22.219999,21.950001,22.139999,12.416587,2205700
2014-12-26,22.170000,22.340000,22.040001,22.299999,12.506326,2334800
2014-12-29,22.200001,22.469999,22.049999,22.320000,12.642258,4395500
2014-12-30,22.200001,22.309999,22.010000,22.129999,12.534642,2274900
2014-12-31,22.080000,22.240000,21.780001,21.830000,12.364717,3084900
2015-01-02,21.870001,22.360001,21.820000,22.320000,12.642258,2956900
2015-01-05,22.260000,22.270000,22.000000,22.110001,12.523315,3108900
2015-01-06,22.209999,22.299999,22.030001,22.120001,12.528977,4037500
2015-01-07,22.129999,22.160000,22.030001,22.090000,12.511989,3501100
2015-01-08,22.150000,22.160000,21.950001,22.010000,12.466671,3578200
2015-01-09,22.000000,22.090000,21.930000,21.940001,12.427021,3534300
2015-01-12,21.950001,21.950001,21.780001,21.900000,12.404364,2785400
2015-01-13,21.879999,21.950001,21.500000,21.639999,12.257098,3523700
2015-01-14,21.520000,21.559999,21.230000,21.530001,12.194798,5126000
2015-01-15,21.520000,21.670000,21.430000,21.480000,12.166471,6385700
2015-01-16,21.510000,21.820000,21.450001,21.799999,12.347726,5391400
2015-01-20,21.870001,21.900000,21.410000,21.469999,12.160813,4233200
2015-01-21,21.450001,21.629999,21.330000,21.600000,12.234446,2592700
2015-01-22,21.750000,22.100000,21.620001,22.070000,12.500662,3644200
2015-01-23,22.090000,22.100000,21.750000,21.879999,12.393036,2247300
2015-01-26,21.910000,22.070000,21.760000,22.059999,12.494992,2648700
2015-01-27,21.940001,22.040001,21.870001,21.910000,12.410032,2127300
2015-01-28,21.700001,21.830000,21.540001,21.549999,12.329927,2119900
2015-01-29,21.549999,21.740000,21.270000,21.520000,12.312764,3126100
2015-01-30,21.430000,21.660000,21.410000,21.549999,12.329927,3981800
2015-02-02,21.520000,21.549999,21.230000,21.450001,12.272715,4575900
2015-02-03,21.280001,21.850000,21.150000,21.730000,12.432917,5445200
2015-02-04,21.629999,21.730000,21.370001,21.430000,12.261271,4216900
2015-02-05,21.400000,21.700001,21.379999,21.690001,12.410030,3399700
2015-02-06,21.700001,21.700001,21.410000,21.549999,12.329927,5511200
2015-02-09,21.540001,21.750000,21.500000,21.680000,12.404308,2617600
2015-02-10,21.709999,21.750000,21.480000,21.510000,12.307044,3555600
2015-02-11,21.430000,21.549999,21.420000,21.480000,12.289874,2098400
2015-02-12,21.540001,21.750000,21.450001,21.740000,12.438640,1997100
2015-02-13,21.760000,21.969999,21.690001,21.950001,12.558789,2632600
2015-02-17,21.809999,22.049999,21.809999,21.920000,12.541622,2485300
2015-02-18,21.940001,21.969999,21.709999,21.860001,12.507298,1903800
2015-02-19,21.820000,21.980000,21.750000,21.870001,12.513020,2003900
2015-02-20,21.870001,21.990000,21.860001,21.940001,12.553066,2368800
2015-02-23,21.940001,21.990000,21.790001,21.850000,12.501577,2434300
2015-02-24,21.799999,21.820000,21.610001,21.780001,12.461524,4128100
2015-02-25,21.440001,21.700001,21.440001,21.459999,12.403725,3620700
2015-02-26,21.450001,21.500000,21.209999,21.270000,12.293904,4743700
2015-02-27,21.260000,21.530001,21.260000,21.440001,12.392164,2385100
2015-03-02,21.400000,21.500000,21.280001,21.350000,12.340146,2798100
2015-03-03,21.360001,21.420000,21.270000,21.350000,12.340146,2617700
2015-03-04,21.350000,21.420000,21.280001,21.379999,12.357485,1862900
2015-03-05,21.389999,21.500000,21.330000,21.360001,12.345928,2187700
2015-03-06,21.250000,21.320000,20.950001,21.049999,12.166745,4863900
2015-03-09,21.139999,21.230000,20.990000,21.049999,12.166745,3177200
2015-03-10,20.930000,21.120001,20.920000,20.980000,12.126286,3280400
2015-03-11,21.000000,21.020000,20.740000,20.780001,12.010692,4052400
2015-03-12,20.850000,21.080000,20.830000,21.020000,12.149408,2971100
2015-03-13,21.100000,21.150000,20.980000,21.139999,12.218770,3775100
2015-03-16,21.190001,21.430000,21.170000,21.420000,12.380608,3448800
2015-03-17,21.410000,21.549999,21.379999,21.520000,12.438404,4042300
2015-03-18,21.450001,21.950001,21.430000,21.799999,12.600240,5408100
2015-03-19,21.799999,21.940001,21.700001,21.740000,12.565565,3008700
2015-03-20,21.780001,21.930000,21.719999,21.790001,12.594458,6429200
2015-03-23,21.750000,21.959999,21.709999,21.870001,12.640699,4411100
2015-03-24,21.910000,21.910000,21.730000,21.760000,12.577122,3432400
2015-03-25,21.820000,21.930000,21.770000,21.809999,12.606021,3135700
2015-03-26,21.809999,21.900000,21.719999,21.760000,12.577122,3607800
2015-03-27,21.559999,21.670000,21.420000,21.580000,12.600483,2608800
2015-03-30,21.590000,21.610001,21.370001,21.410000,12.501222,3186300
2015-03-31,21.350000,21.520000,21.320000,21.330000,12.454506,4467500
2015-04-01,21.400000,21.480000,21.309999,21.459999,12.530411,2079900
2015-04-02,21.430000,21.520000,21.370001,21.420000,12.507059,1778200
2015-04-06,21.480000,21.690001,21.440001,21.660000,12.647187,2527500
2015-04-07,21.660000,21.680000,21.450001,21.580000,12.600483,2162200
2015-04-08,21.580000,21.750000,21.450001,21.730000,12.688063,3024300
2015-04-09,21.719999,21.750000,21.600000,21.629999,12.629666,1698800
2015-04-10,21.670000,21.830000,21.650000,21.700001,12.670550,1892200
2015-04-13,21.629999,21.660000,21.480000,21.590000,12.606318,2824100
2015-04-14,21.639999,21.820000,21.590000,21.730000,12.688063,1975200
2015-04-15,21.780001,21.799999,21.530001,21.530001,12.571287,3053200
2015-04-16,21.549999,21.700001,21.500000,21.670000,12.653034,2097200
2015-04-17,21.600000,21.700001,21.590000,21.600000,12.612162,2028200
2015-04-20,21.610001,21.700001,21.559999,21.639999,12.635512,1902900
2015-04-21,21.700001,21.750000,21.639999,21.639999,12.635512,1927000
2015-04-22,21.620001,21.690001,21.570000,21.650000,12.641353,2126500
2015-04-23,21.610001,21.690001,21.590000,21.600000,12.612162,1899200
2015-04-24,21.650000,21.700001,21.570000,21.580000,12.600483,3360200
2015-04-27,21.600000,21.700001,21.450001,21.500000,12.553766,3730700
2015-04-28,21.160000,21.200001,20.680000,20.809999,12.276500,6946200
2015-04-29,20.490000,20.650000,20.379999,20.540001,12.117217,6401700
2015-04-30,20.400000,20.639999,20.400000,20.639999,12.176209,5185600
2015-05-01,20.580000,20.780001,20.530001,20.750000,12.241109,6101600
2015-05-04,20.719999,20.790001,20.639999,20.790001,12.264698,3497300
